[DEBUG] Sent chunk 1, 2048 bytes
[DEBUG] Sent chunk 2, 2048 bytes
[DEBUG] Sent chunk 3, 2048 bytes
[DEBUG] Sent chunk 4, 2048 bytes
[DEBUG] Sent chunk 5, 2048 bytes
[DEBUG] Sent chunk 6, 2048 bytes
[DEBUG] Sent chunk 7, 2048 bytes
[DEBUG] Sent chunk 8, 2048 bytes
[DEBUG] Sent chunk 9, 2048 bytes
[DEBUG] Sent chunk 10, 2048 bytes
[DEBUG] Sent chunk 11, 2048 bytes
[DEBUG] Sent chunk 12, 2048 bytes
[DEBUG] Sent chunk 13, 2048 bytes
[DEBUG] Sent chunk 14, 2048 bytes
[DEBUG] Sent chunk 15, 2048 bytes
[DEBUG] Sent chunk 16, 2048 bytes
[DEBUG] Sent chunk 17, 2048 bytes
[DEBUG] Sent chunk 18, 2048 bytes
[DEBUG] Sent chunk 19, 2048 bytes
[DEBUG] Sent chunk 20, 2048 bytes
[DEBUG] Sent chunk 21, 2048 bytes
[DEBUG] Sent chunk 22, 2048 bytes
[DEBUG] Sent chunk 23, 2048 bytes
[DEBUG] Sent chunk 24, 2048 bytes
[DEBUG] Sent chunk 25, 2048 bytes
[DEBUG] Sent chunk 26, 2048 bytes
[DEBUG] Sent chunk 27, 2048 bytes
[DEBUG] Sent chunk 28, 2048 bytes
[DEBUG] Sent chunk 29, 620 bytes
Sent 57964 bytes in 0.00 seconds (593442.06 KB/s)
Client data sent. Check server for successful service.
